,Year,Time Occurred,Crime Code Description,Count,Hour
60735,2014,00:01:00,BATTERY - SIMPLE ASSAULT,110,0.01
60744,2014,00:01:00,BURGLARY,123,0.01
60745,2014,00:01:00,BURGLARY FROM VEHICLE,198,0.01
60795,2014,00:01:00,THEFT OF IDENTITY,989,0.01
60805,2014,00:01:00,VEHICLE - STOLEN,167,0.01
60809,2014,00:02:00,BATTERY - SIMPLE ASSAULT,1,0.02
60810,2014,00:02:00,BURGLARY,1,0.02
60816,2014,00:02:00,THEFT OF IDENTITY,1,0.02
60819,2014,00:03:00,BURGLARY,1,0.03
60820,2014,00:03:00,BURGLARY FROM VEHICLE,1,0.03
60827,2014,00:04:00,BATTERY - SIMPLE ASSAULT,1,0.04
60828,2014,00:04:00,BURGLARY,1,0.04
60835,2014,00:05:00,BATTERY - SIMPLE ASSAULT,70,0.05
60842,2014,00:05:00,BURGLARY,34,0.05
60843,2014,00:05:00,BURGLARY FROM VEHICLE,89,0.05
60882,2014,00:05:00,THEFT OF IDENTITY,272,0.05
60891,2014,00:05:00,VEHICLE - STOLEN,90,0.05
60905,2014,00:09:00,BATTERY - SIMPLE ASSAULT,1,0.09
60906,2014,00:09:00,BURGLARY,1,0.09
60910,2014,00:10:00,BATTERY - SIMPLE ASSAULT,50,0.1
60915,2014,00:10:00,BURGLARY,12,0.1
60916,2014,00:10:00,BURGLARY FROM VEHICLE,30,0.1
60944,2014,00:10:00,THEFT OF IDENTITY,9,0.1
60952,2014,00:10:00,VEHICLE - STOLEN,22,0.1
60955,2014,00:11:00,BURGLARY,1,0.11
60963,2014,00:13:00,BURGLARY,1,0.13
60964,2014,00:13:00,BURGLARY FROM VEHICLE,1,0.13
60970,2014,00:14:00,BURGLARY,1,0.14
60975,2014,00:15:00,BATTERY - SIMPLE ASSAULT,48,0.15
60980,2014,00:15:00,BURGLARY,22,0.15
60981,2014,00:15:00,BURGLARY FROM VEHICLE,34,0.15
61004,2014,00:15:00,THEFT OF IDENTITY,20,0.15
61014,2014,00:15:00,VEHICLE - STOLEN,27,0.15
61022,2014,00:17:00,BURGLARY,1,0.17
61025,2014,00:18:00,BURGLARY,2,0.18
61029,2014,00:19:00,BURGLARY,1,0.19
61035,2014,00:20:00,BATTERY - SIMPLE ASSAULT,51,0.2
61040,2014,00:20:00,BURGLARY,9,0.2
61041,2014,00:20:00,BURGLARY FROM VEHICLE,6,0.2
61069,2014,00:20:00,THEFT OF IDENTITY,5,0.2
61076,2014,00:20:00,VEHICLE - STOLEN,7,0.2
61080,2014,00:22:00,BURGLARY FROM VEHICLE,1,0.22
61084,2014,00:24:00,BATTERY - SIMPLE ASSAULT,1,0.24
61085,2014,00:24:00,BURGLARY,2,0.24
61091,2014,00:25:00,BATTERY - SIMPLE ASSAULT,14,0.25
61094,2014,00:25:00,BURGLARY,2,0.25
61095,2014,00:25:00,BURGLARY FROM VEHICLE,3,0.25
61112,2014,00:25:00,THEFT OF IDENTITY,3,0.25
61120,2014,00:25:00,VEHICLE - STOLEN,2,0.25
61135,2014,00:30:00,BATTERY - SIMPLE ASSAULT,130,0.3
61140,2014,00:30:00,BURGLARY,60,0.3
61141,2014,00:30:00,BURGLARY FROM VEHICLE,153,0.3
61179,2014,00:30:00,THEFT OF IDENTITY,16,0.3
61188,2014,00:30:00,VEHICLE - STOLEN,117,0.3
61201,2014,00:35:00,BATTERY - SIMPLE ASSAULT,16,0.35
61206,2014,00:35:00,BURGLARY,6,0.35
61207,2014,00:35:00,BURGLARY FROM VEHICLE,3,0.35
61226,2014,00:35:00,VEHICLE - STOLEN,3,0.35
61229,2014,00:36:00,BATTERY - SIMPLE ASSAULT,1,0.36
61237,2014,00:38:00,BURGLARY,1,0.38
61238,2014,00:38:00,BURGLARY FROM VEHICLE,1,0.38
61239,2014,00:39:00,THEFT OF IDENTITY,1,0.39
61242,2014,00:40:00,BATTERY - SIMPLE ASSAULT,30,0.4
61246,2014,00:40:00,BURGLARY,8,0.4
61247,2014,00:40:00,BURGLARY FROM VEHICLE,5,0.4
61262,2014,00:40:00,THEFT OF IDENTITY,3,0.4
61270,2014,00:40:00,VEHICLE - STOLEN,3,0.4
61285,2014,00:45:00,BATTERY - SIMPLE ASSAULT,41,0.45
61290,2014,00:45:00,BURGLARY,9,0.45
61291,2014,00:45:00,BURGLARY FROM VEHICLE,15,0.45
61320,2014,00:45:00,THEFT OF IDENTITY,4,0.45
61329,2014,00:45:00,VEHICLE - STOLEN,24,0.45
61343,2014,00:50:00,BATTERY - SIMPLE ASSAULT,29,0.5
61347,2014,00:50:00,BURGLARY,8,0.5
61348,2014,00:50:00,BURGLARY FROM VEHICLE,6,0.5
61375,2014,00:50:00,VEHICLE - STOLEN,12,0.5
61381,2014,00:52:00,BURGLARY,1,0.52
61382,2014,00:52:00,BURGLARY FROM VEHICLE,1,0.52
61390,2014,00:54:00,BURGLARY,1,0.54
61396,2014,00:55:00,BATTERY - SIMPLE ASSAULT,14,0.55
61399,2014,00:55:00,BURGLARY,3,0.55
61400,2014,00:55:00,BURGLARY FROM VEHICLE,1,0.55
61417,2014,00:55:00,THEFT OF IDENTITY,7,0.55
61425,2014,00:55:00,VEHICLE - STOLEN,2,0.55
61428,2014,00:57:00,VEHICLE - STOLEN,1,0.57
61429,2014,00:58:00,BURGLARY,1,0.58
61434,2014,00:59:00,BURGLARY FROM VEHICLE,1,0.59
61443,2014,01:00:00,BATTERY - SIMPLE ASSAULT,246,1.0
61450,2014,01:00:00,BURGLARY,91,1.0
61451,2014,01:00:00,BURGLARY FROM VEHICLE,217,1.0
61499,2014,01:00:00,THEFT OF IDENTITY,61,1.0
61509,2014,01:00:00,VEHICLE - STOLEN,223,1.0
61524,2014,01:05:00,BATTERY - SIMPLE ASSAULT,9,1.05
61529,2014,01:05:00,BURGLARY,5,1.05
61530,2014,01:05:00,BURGLARY FROM VEHICLE,5,1.05
61546,2014,01:05:00,THEFT OF IDENTITY,2,1.05
61557,2014,01:07:00,BURGLARY,1,1.07
61566,2014,01:10:00,BATTERY - SIMPLE ASSAULT,43,1.1
61569,2014,01:10:00,BURGLARY,7,1.1
61570,2014,01:10:00,BURGLARY FROM VEHICLE,4,1.1
61590,2014,01:10:00,THEFT OF IDENTITY,1,1.1
61597,2014,01:10:00,VEHICLE - STOLEN,5,1.1
61602,2014,01:12:00,THEFT OF IDENTITY,1,1.12
61605,2014,01:12:00,VEHICLE - STOLEN,1,1.12
61607,2014,01:14:00,BURGLARY,2,1.14
61611,2014,01:15:00,BATTERY - SIMPLE ASSAULT,52,1.15
61616,2014,01:15:00,BURGLARY,12,1.15
61617,2014,01:15:00,BURGLARY FROM VEHICLE,8,1.15
61642,2014,01:15:00,THEFT OF IDENTITY,1,1.15
61650,2014,01:15:00,VEHICLE - STOLEN,9,1.15
61653,2014,01:16:00,BURGLARY,1,1.16
61655,2014,01:16:00,THEFT OF IDENTITY,1,1.16
61662,2014,01:18:00,BURGLARY,1,1.18
61669,2014,01:20:00,BATTERY - SIMPLE ASSAULT,43,1.2
61673,2014,01:20:00,BURGLARY,9,1.2
61674,2014,01:20:00,BURGLARY FROM VEHICLE,14,1.2
61694,2014,01:20:00,THEFT OF IDENTITY,3,1.2
61702,2014,01:20:00,VEHICLE - STOLEN,5,1.2
61707,2014,01:22:00,THEFT OF IDENTITY,1,1.22
61708,2014,01:23:00,BURGLARY,1,1.23
61712,2014,01:23:00,VEHICLE - STOLEN,1,1.23
61718,2014,01:25:00,BATTERY - SIMPLE ASSAULT,20,1.25
61720,2014,01:25:00,BURGLARY,5,1.25
61721,2014,01:25:00,BURGLARY FROM VEHICLE,3,1.25
61740,2014,01:25:00,VEHICLE - STOLEN,4,1.25
61743,2014,01:26:00,BURGLARY,2,1.26
61744,2014,01:26:00,BURGLARY FROM VEHICLE,1,1.26
61749,2014,01:27:00,VEHICLE - STOLEN,1,1.27
61760,2014,01:30:00,BATTERY - SIMPLE ASSAULT,153,1.3
61768,2014,01:30:00,BURGLARY,57,1.3
61769,2014,01:30:00,BURGLARY FROM VEHICLE,82,1.3
61801,2014,01:30:00,THEFT OF IDENTITY,12,1.3
61812,2014,01:30:00,VEHICLE - STOLEN,76,1.3
61820,2014,01:33:00,BURGLARY,1,1.33
61821,2014,01:33:00,BURGLARY FROM VEHICLE,1,1.33
61824,2014,01:33:00,VEHICLE - STOLEN,1,1.33
61825,2014,01:34:00,BURGLARY,2,1.34
61829,2014,01:35:00,BATTERY - SIMPLE ASSAULT,23,1.35
61834,2014,01:35:00,BURGLARY,4,1.35
61835,2014,01:35:00,BURGLARY FROM VEHICLE,3,1.35
61864,2014,01:39:00,BURGLARY,1,1.39
61867,2014,01:40:00,BATTERY - SIMPLE ASSAULT,28,1.4
61873,2014,01:40:00,BURGLARY,7,1.4
61874,2014,01:40:00,BURGLARY FROM VEHICLE,5,1.4
61903,2014,01:40:00,VEHICLE - STOLEN,9,1.4
61908,2014,01:44:00,BATTERY - SIMPLE ASSAULT,1,1.44
61909,2014,01:44:00,BURGLARY,1,1.44
61914,2014,01:45:00,BATTERY - SIMPLE ASSAULT,49,1.45
61917,2014,01:45:00,BURGLARY,13,1.45
61918,2014,01:45:00,BURGLARY FROM VEHICLE,11,1.45
61939,2014,01:45:00,THEFT OF IDENTITY,3,1.45
61948,2014,01:45:00,VEHICLE - STOLEN,6,1.45
61955,2014,01:47:00,BURGLARY,1,1.47
61958,2014,01:48:00,BATTERY - SIMPLE ASSAULT,1,1.48
61959,2014,01:48:00,BURGLARY,1,1.48
61971,2014,01:50:00,BATTERY - SIMPLE ASSAULT,43,1.5
61976,2014,01:50:00,BURGLARY,22,1.5
61977,2014,01:50:00,BURGLARY FROM VEHICLE,5,1.5
62003,2014,01:50:00,VEHICLE - STOLEN,5,1.5
62006,2014,01:51:00,BURGLARY,1,1.51
62007,2014,01:51:00,BURGLARY FROM VEHICLE,2,1.51
62010,2014,01:53:00,BURGLARY,1,1.53
62012,2014,01:53:00,VEHICLE - STOLEN,1,1.53
62017,2014,01:55:00,BATTERY - SIMPLE ASSAULT,17,1.55
62020,2014,01:55:00,BURGLARY,4,1.55
62021,2014,01:55:00,BURGLARY FROM VEHICLE,2,1.55
62043,2014,01:56:00,BURGLARY,2,1.56
62044,2014,01:56:00,BURGLARY FROM VEHICLE,1,1.56
62050,2014,01:58:00,BATTERY - SIMPLE ASSAULT,1,1.58
62059,2014,02:00:00,BATTERY - SIMPLE ASSAULT,223,2.0
62064,2014,02:00:00,BURGLARY,120,2.0
62065,2014,02:00:00,BURGLARY FROM VEHICLE,188,2.0
62109,2014,02:00:00,THEFT OF IDENTITY,11,2.0
62118,2014,02:00:00,VEHICLE - STOLEN,181,2.0
62123,2014,02:02:00,VEHICLE - STOLEN,1,2.02
62127,2014,02:04:00,BURGLARY FROM VEHICLE,1,2.04
62130,2014,02:05:00,BATTERY - SIMPLE ASSAULT,5,2.05
62131,2014,02:05:00,BURGLARY,1,2.05
62132,2014,02:05:00,BURGLARY FROM VEHICLE,7,2.05
62148,2014,02:05:00,VEHICLE - STOLEN,1,2.05
62151,2014,02:06:00,BATTERY - SIMPLE ASSAULT,1,2.06
62152,2014,02:06:00,BURGLARY,1,2.06
62158,2014,02:07:00,VEHICLE - STOLEN,1,2.07
62159,2014,02:08:00,BURGLARY FROM VEHICLE,1,2.08
62162,2014,02:09:00,BURGLARY,1,2.09
62166,2014,02:10:00,BATTERY - SIMPLE ASSAULT,33,2.1
62168,2014,02:10:00,BURGLARY,7,2.1
62169,2014,02:10:00,BURGLARY FROM VEHICLE,5,2.1
62193,2014,02:10:00,VEHICLE - STOLEN,5,2.1
62196,2014,02:11:00,BURGLARY,1,2.11
62197,2014,02:11:00,BURGLARY FROM VEHICLE,1,2.11
62201,2014,02:13:00,BURGLARY,1,2.13
62206,2014,02:15:00,BATTERY - SIMPLE ASSAULT,43,2.15
62209,2014,02:15:00,BURGLARY,15,2.15
62210,2014,02:15:00,BURGLARY FROM VEHICLE,11,2.15
62232,2014,02:15:00,THEFT OF IDENTITY,1,2.15
62239,2014,02:15:00,VEHICLE - STOLEN,10,2.15
62242,2014,02:16:00,BURGLARY,1,2.16
62244,2014,02:17:00,BURGLARY,1,2.17
62246,2014,02:17:00,VEHICLE - STOLEN,1,2.17
62250,2014,02:18:00,VEHICLE - STOLEN,1,2.18
62257,2014,02:20:00,BATTERY - SIMPLE ASSAULT,37,2.2
62260,2014,02:20:00,BURGLARY,14,2.2
62261,2014,02:20:00,BURGLARY FROM VEHICLE,7,2.2
62286,2014,02:20:00,VEHICLE - STOLEN,2,2.2
62293,2014,02:24:00,BURGLARY,3,2.24
62298,2014,02:25:00,BATTERY - SIMPLE ASSAULT,18,2.25
62301,2014,02:25:00,BURGLARY,12,2.25
62302,2014,02:25:00,BURGLARY FROM VEHICLE,5,2.25
62311,2014,02:25:00,THEFT OF IDENTITY,1,2.25
62318,2014,02:25:00,VEHICLE - STOLEN,3,2.25
62320,2014,02:26:00,BURGLARY,1,2.26
62322,2014,02:27:00,BURGLARY,1,2.27
62327,2014,02:30:00,BATTERY - SIMPLE ASSAULT,109,2.3
62333,2014,02:30:00,BURGLARY,53,2.3
62334,2014,02:30:00,BURGLARY FROM VEHICLE,76,2.3
62370,2014,02:30:00,THEFT OF IDENTITY,5,2.3
62379,2014,02:30:00,VEHICLE - STOLEN,53,2.3
62384,2014,02:33:00,BURGLARY,2,2.33
62389,2014,02:35:00,BATTERY - SIMPLE ASSAULT,3,2.35
62393,2014,02:35:00,BURGLARY,6,2.35
62394,2014,02:35:00,BURGLARY FROM VEHICLE,3,2.35
62406,2014,02:35:00,THEFT OF IDENTITY,1,2.35
62411,2014,02:35:00,VEHICLE - STOLEN,1,2.35
62419,2014,02:38:00,BURGLARY FROM VEHICLE,1,2.38
62427,2014,02:40:00,BATTERY - SIMPLE ASSAULT,25,2.4
62429,2014,02:40:00,BURGLARY,10,2.4
62430,2014,02:40:00,BURGLARY FROM VEHICLE,6,2.4
62446,2014,02:40:00,THEFT OF IDENTITY,1,2.4
62454,2014,02:40:00,VEHICLE - STOLEN,3,2.4
62456,2014,02:41:00,BATTERY - SIMPLE ASSAULT,1,2.41
62457,2014,02:41:00,BURGLARY,1,2.41
62458,2014,02:42:00,BURGLARY,1,2.42
62459,2014,02:42:00,BURGLARY FROM VEHICLE,1,2.42
62461,2014,02:43:00,BURGLARY,1,2.43
62463,2014,02:44:00,BURGLARY FROM VEHICLE,1,2.44
62470,2014,02:45:00,BATTERY - SIMPLE ASSAULT,36,2.45
62474,2014,02:45:00,BURGLARY,13,2.45
62475,2014,02:45:00,BURGLARY FROM VEHICLE,12,2.45
62506,2014,02:45:00,VEHICLE - STOLEN,5,2.45
62510,2014,02:47:00,BURGLARY,1,2.47
62512,2014,02:48:00,BURGLARY,1,2.48
62515,2014,02:49:00,BURGLARY,2,2.49
62521,2014,02:50:00,BATTERY - SIMPLE ASSAULT,26,2.5
62523,2014,02:50:00,BURGLARY,11,2.5
62524,2014,02:50:00,BURGLARY FROM VEHICLE,8,2.5
62547,2014,02:50:00,VEHICLE - STOLEN,10,2.5
62552,2014,02:51:00,BURGLARY,1,2.51
62556,2014,02:53:00,BATTERY - SIMPLE ASSAULT,1,2.53
62557,2014,02:53:00,BURGLARY,2,2.53
62562,2014,02:55:00,BATTERY - SIMPLE ASSAULT,16,2.55
62564,2014,02:55:00,BURGLARY,6,2.55
62565,2014,02:55:00,BURGLARY FROM VEHICLE,3,2.55
62577,2014,02:55:00,THEFT OF IDENTITY,1,2.55
62582,2014,02:55:00,VEHICLE - STOLEN,1,2.55
62585,2014,02:56:00,BATTERY - SIMPLE ASSAULT,1,2.56
62599,2014,03:00:00,BATTERY - SIMPLE ASSAULT,141,3.0
62605,2014,03:00:00,BURGLARY,74,3.0
62606,2014,03:00:00,BURGLARY FROM VEHICLE,127,3.0
62646,2014,03:00:00,THEFT OF IDENTITY,17,3.0
62658,2014,03:00:00,VEHICLE - STOLEN,137,3.0
62661,2014,03:01:00,BATTERY - SIMPLE ASSAULT,1,3.01
62664,2014,03:02:00,BURGLARY,2,3.02
62665,2014,03:02:00,VEHICLE - STOLEN,1,3.02
62666,2014,03:03:00,BURGLARY,1,3.03
62672,2014,03:05:00,BATTERY - SIMPLE ASSAULT,9,3.05
62673,2014,03:05:00,BURGLARY,10,3.05
62674,2014,03:05:00,BURGLARY FROM VEHICLE,5,3.05
62683,2014,03:05:00,THEFT OF IDENTITY,1,3.05
62690,2014,03:06:00,BURGLARY,1,3.06
62693,2014,03:07:00,BURGLARY,1,3.07
62694,2014,03:07:00,BURGLARY FROM VEHICLE,1,3.07
62697,2014,03:08:00,BURGLARY,2,3.08
62706,2014,03:10:00,BATTERY - SIMPLE ASSAULT,11,3.1
62709,2014,03:10:00,BURGLARY,15,3.1
62710,2014,03:10:00,BURGLARY FROM VEHICLE,9,3.1
62732,2014,03:10:00,VEHICLE - STOLEN,5,3.1
62735,2014,03:11:00,BATTERY - SIMPLE ASSAULT,1,3.11
62738,2014,03:12:00,BURGLARY,3,3.12
62748,2014,03:15:00,BATTERY - SIMPLE ASSAULT,19,3.15
62750,2014,03:15:00,BURGLARY,16,3.15
62751,2014,03:15:00,BURGLARY FROM VEHICLE,8,3.15
62774,2014,03:15:00,THEFT OF IDENTITY,3,3.15
62780,2014,03:15:00,VEHICLE - STOLEN,4,3.15
62782,2014,03:17:00,BURGLARY FROM VEHICLE,1,3.17
62784,2014,03:18:00,BURGLARY,1,3.18
62789,2014,03:18:00,VEHICLE - STOLEN,1,3.18
62790,2014,03:19:00,BURGLARY,1,3.19
62795,2014,03:20:00,BATTERY - SIMPLE ASSAULT,23,3.2
62798,2014,03:20:00,BURGLARY,8,3.2
62799,2014,03:20:00,BURGLARY FROM VEHICLE,8,3.2
62821,2014,03:20:00,VEHICLE - STOLEN,8,3.2
62825,2014,03:22:00,BURGLARY,1,3.22
62828,2014,03:23:00,BATTERY - SIMPLE ASSAULT,2,3.23
62829,2014,03:23:00,BURGLARY FROM VEHICLE,1,3.23
62836,2014,03:25:00,BATTERY - SIMPLE ASSAULT,4,3.25
62838,2014,03:25:00,BURGLARY,13,3.25
62839,2014,03:25:00,BURGLARY FROM VEHICLE,3,3.25
62858,2014,03:26:00,BURGLARY,1,3.26
62867,2014,03:30:00,BATTERY - SIMPLE ASSAULT,69,3.3
62872,2014,03:30:00,BURGLARY,33,3.3
62873,2014,03:30:00,BURGLARY FROM VEHICLE,35,3.3
62901,2014,03:30:00,THEFT OF IDENTITY,3,3.3
62909,2014,03:30:00,VEHICLE - STOLEN,39,3.3
62913,2014,03:32:00,BURGLARY,1,3.32
62915,2014,03:33:00,BURGLARY,2,3.33
62916,2014,03:33:00,THEFT OF IDENTITY,1,3.33
62920,2014,03:35:00,BATTERY - SIMPLE ASSAULT,6,3.35
62922,2014,03:35:00,BURGLARY,5,3.35
62923,2014,03:35:00,BURGLARY FROM VEHICLE,4,3.35
62935,2014,03:35:00,VEHICLE - STOLEN,3,3.35
62939,2014,03:36:00,BURGLARY,1,3.36
62940,2014,03:36:00,BURGLARY FROM VEHICLE,1,3.36
62945,2014,03:38:00,BURGLARY,1,3.38
62949,2014,03:40:00,BATTERY - SIMPLE ASSAULT,16,3.4
62954,2014,03:40:00,BURGLARY,16,3.4
62955,2014,03:40:00,BURGLARY FROM VEHICLE,10,3.4
62972,2014,03:40:00,THEFT OF IDENTITY,1,3.4
62979,2014,03:40:00,VEHICLE - STOLEN,4,3.4
62983,2014,03:42:00,BURGLARY,1,3.42
62986,2014,03:44:00,BURGLARY,1,3.44
62991,2014,03:45:00,BATTERY - SIMPLE ASSAULT,21,3.45
62996,2014,03:45:00,BURGLARY,13,3.45
62997,2014,03:45:00,BURGLARY FROM VEHICLE,10,3.45
63019,2014,03:45:00,THEFT OF IDENTITY,1,3.45
63026,2014,03:45:00,VEHICLE - STOLEN,5,3.45
63035,2014,03:48:00,VEHICLE - STOLEN,1,3.48
63036,2014,03:49:00,BURGLARY,1,3.49
63040,2014,03:50:00,BATTERY - SIMPLE ASSAULT,5,3.5
63043,2014,03:50:00,BURGLARY,12,3.5
63044,2014,03:50:00,BURGLARY FROM VEHICLE,9,3.5
63058,2014,03:50:00,THEFT OF IDENTITY,4,3.5
63064,2014,03:50:00,VEHICLE - STOLEN,6,3.5
63073,2014,03:55:00,BATTERY - SIMPLE ASSAULT,3,3.55
63076,2014,03:55:00,BURGLARY,10,3.55
63077,2014,03:55:00,BURGLARY FROM VEHICLE,2,3.55
63093,2014,03:55:00,VEHICLE - STOLEN,2,3.55
63101,2014,03:58:00,BURGLARY,2,3.58
63103,2014,03:59:00,BURGLARY,3,3.59
63109,2014,04:00:00,BATTERY - SIMPLE ASSAULT,79,4.0
63115,2014,04:00:00,BURGLARY,88,4.0
63116,2014,04:00:00,BURGLARY FROM VEHICLE,65,4.0
63152,2014,04:00:00,THEFT OF IDENTITY,11,4.0
63163,2014,04:00:00,VEHICLE - STOLEN,102,4.0
63173,2014,04:05:00,BATTERY - SIMPLE ASSAULT,4,4.05
63178,2014,04:05:00,BURGLARY,3,4.05
63179,2014,04:05:00,BURGLARY FROM VEHICLE,4,4.05
63191,2014,04:06:00,BURGLARY,2,4.06
63194,2014,04:07:00,BURGLARY,1,4.07
63197,2014,04:09:00,BURGLARY,2,4.09
63200,2014,04:09:00,THEFT OF IDENTITY,1,4.09
63203,2014,04:10:00,BATTERY - SIMPLE ASSAULT,11,4.1
63207,2014,04:10:00,BURGLARY,5,4.1
63208,2014,04:10:00,BURGLARY FROM VEHICLE,4,4.1
63225,2014,04:10:00,VEHICLE - STOLEN,3,4.1
63227,2014,04:11:00,BURGLARY,1,4.11
63238,2014,04:15:00,BATTERY - SIMPLE ASSAULT,14,4.15
63242,2014,04:15:00,BURGLARY,17,4.15
63243,2014,04:15:00,BURGLARY FROM VEHICLE,3,4.15
63257,2014,04:15:00,THEFT OF IDENTITY,1,4.15
63264,2014,04:15:00,VEHICLE - STOLEN,7,4.15
63266,2014,04:17:00,BURGLARY,2,4.17
63267,2014,04:17:00,BURGLARY FROM VEHICLE,1,4.17
63272,2014,04:20:00,BATTERY - SIMPLE ASSAULT,12,4.2
63276,2014,04:20:00,BURGLARY,13,4.2
63277,2014,04:20:00,BURGLARY FROM VEHICLE,4,4.2
63303,2014,04:20:00,VEHICLE - STOLEN,8,4.2
63309,2014,04:22:00,BURGLARY,1,4.22
63311,2014,04:23:00,BURGLARY,1,4.23
63313,2014,04:24:00,BURGLARY,1,4.24
63318,2014,04:25:00,BATTERY - SIMPLE ASSAULT,4,4.25
63320,2014,04:25:00,BURGLARY,13,4.25
63321,2014,04:25:00,BURGLARY FROM VEHICLE,1,4.25
63332,2014,04:25:00,THEFT OF IDENTITY,1,4.25
63337,2014,04:25:00,VEHICLE - STOLEN,1,4.25
63338,2014,04:26:00,BURGLARY,1,4.26
63342,2014,04:28:00,BURGLARY,1,4.28
63343,2014,04:29:00,BURGLARY,1,4.29
63347,2014,04:30:00,BATTERY - SIMPLE ASSAULT,52,4.3
63352,2014,04:30:00,BURGLARY,44,4.3
63353,2014,04:30:00,BURGLARY FROM VEHICLE,39,4.3
63381,2014,04:30:00,THEFT OF IDENTITY,3,4.3
63389,2014,04:30:00,VEHICLE - STOLEN,40,4.3
63396,2014,04:35:00,BATTERY - SIMPLE ASSAULT,4,4.35
63398,2014,04:35:00,BURGLARY,7,4.35
63399,2014,04:35:00,BURGLARY FROM VEHICLE,1,4.35
63409,2014,04:35:00,VEHICLE - STOLEN,1,4.35
63410,2014,04:37:00,BURGLARY,1,4.37
63412,2014,04:38:00,BURGLARY,1,4.38
63413,2014,04:38:00,BURGLARY FROM VEHICLE,1,4.38
63418,2014,04:40:00,BATTERY - SIMPLE ASSAULT,7,4.4
63421,2014,04:40:00,BURGLARY,8,4.4
63422,2014,04:40:00,BURGLARY FROM VEHICLE,2,4.4
63438,2014,04:40:00,VEHICLE - STOLEN,8,4.4
63441,2014,04:41:00,BURGLARY,1,4.41
63444,2014,04:43:00,BATTERY - SIMPLE ASSAULT,1,4.43
63446,2014,04:44:00,BURGLARY,1,4.44
63449,2014,04:45:00,BATTERY - SIMPLE ASSAULT,25,4.45
63453,2014,04:45:00,BURGLARY,17,4.45
63454,2014,04:45:00,BURGLARY FROM VEHICLE,7,4.45
63473,2014,04:45:00,THEFT OF IDENTITY,1,4.45
63479,2014,04:45:00,VEHICLE - STOLEN,7,4.45
63482,2014,04:46:00,BURGLARY,1,4.46
63483,2014,04:47:00,BURGLARY,3,4.47
63484,2014,04:47:00,THEFT OF IDENTITY,2,4.47
63487,2014,04:48:00,THEFT OF IDENTITY,1,4.48
63488,2014,04:48:00,VEHICLE - STOLEN,1,4.48
63492,2014,04:50:00,BATTERY - SIMPLE ASSAULT,6,4.5
63495,2014,04:50:00,BURGLARY,10,4.5
63496,2014,04:50:00,BURGLARY FROM VEHICLE,5,4.5
63513,2014,04:50:00,THEFT OF IDENTITY,2,4.5
63519,2014,04:50:00,VEHICLE - STOLEN,7,4.5
63522,2014,04:51:00,THEFT OF IDENTITY,1,4.51
63523,2014,04:52:00,BURGLARY,1,4.52
63525,2014,04:53:00,BURGLARY FROM VEHICLE,1,4.53
63529,2014,04:55:00,BATTERY - SIMPLE ASSAULT,2,4.55
63531,2014,04:55:00,BURGLARY,6,4.55
63532,2014,04:55:00,BURGLARY FROM VEHICLE,4,4.55
63544,2014,04:55:00,VEHICLE - STOLEN,1,4.55
63548,2014,04:57:00,BURGLARY,1,4.57
63553,2014,05:00:00,BATTERY - SIMPLE ASSAULT,54,5.0
63560,2014,05:00:00,BURGLARY,86,5.0
63561,2014,05:00:00,BURGLARY FROM VEHICLE,74,5.0
63598,2014,05:00:00,THEFT OF IDENTITY,12,5.0
63608,2014,05:00:00,VEHICLE - STOLEN,88,5.0
63612,2014,05:02:00,BURGLARY,1,5.02
63614,2014,05:03:00,BURGLARY,1,5.03
63618,2014,05:04:00,BURGLARY,1,5.04
63621,2014,05:05:00,BATTERY - SIMPLE ASSAULT,1,5.05
63623,2014,05:05:00,BURGLARY,8,5.05
63624,2014,05:05:00,BURGLARY FROM VEHICLE,2,5.05
63637,2014,05:05:00,VEHICLE - STOLEN,2,5.05
63640,2014,05:06:00,THEFT OF IDENTITY,4,5.06
63642,2014,05:07:00,BURGLARY FROM VEHICLE,1,5.07
63644,2014,05:08:00,BURGLARY,1,5.08
63645,2014,05:09:00,VEHICLE - STOLEN,1,5.09
63648,2014,05:10:00,BATTERY - SIMPLE ASSAULT,2,5.1
63650,2014,05:10:00,BURGLARY,9,5.1
63651,2014,05:10:00,BURGLARY FROM VEHICLE,6,5.1
63663,2014,05:10:00,THEFT OF IDENTITY,1,5.1
63670,2014,05:10:00,VEHICLE - STOLEN,2,5.1
63672,2014,05:12:00,BURGLARY,1,5.12
63676,2014,05:14:00,BATTERY - SIMPLE ASSAULT,1,5.14
63681,2014,05:15:00,BATTERY - SIMPLE ASSAULT,9,5.15
63685,2014,05:15:00,BURGLARY,14,5.15
63686,2014,05:15:00,BURGLARY FROM VEHICLE,6,5.15
63707,2014,05:15:00,VEHICLE - STOLEN,11,5.15
63710,2014,05:16:00,BATTERY - SIMPLE ASSAULT,1,5.16
63711,2014,05:18:00,BURGLARY,1,5.18
63715,2014,05:19:00,BURGLARY FROM VEHICLE,1,5.19
63717,2014,05:19:00,THEFT OF IDENTITY,1,5.19
63721,2014,05:20:00,BATTERY - SIMPLE ASSAULT,6,5.2
63723,2014,05:20:00,BURGLARY,12,5.2
63724,2014,05:20:00,BURGLARY FROM VEHICLE,6,5.2
63742,2014,05:20:00,VEHICLE - STOLEN,6,5.2
63745,2014,05:22:00,BATTERY - SIMPLE ASSAULT,1,5.22
